n	real_n	max_n	Time (s)	m	r
355.0	355.0	462.0	0.9405720233917236	11.0	5.0
360.0	360.0	462.0	0.9900758266448975	11.0	5.0
364.0	364.0	462.0	1.0263900756835938	11.0	5.0
369.0	369.0	462.0	1.095855474472046	11.0	5.0
374.0	374.0	462.0	1.0490081310272217	11.0	5.0
378.0	378.0	462.0	1.0997228622436523	11.0	5.0
383.0	383.0	462.0	1.120985507965088	11.0	5.0
388.0	388.0	462.0	1.2044439315795898	11.0	5.0
392.0	392.0	462.0	1.1998090744018555	11.0	5.0
397.0	397.0	462.0	72.49250984191895	11.0	5.0
401.0	0.0	462.0	400.001314163208	11.0	5.0
406.0	0.0	462.0	400.0016460418701	11.0	5.0
411.0	0.0	462.0	400.00073194503784	11.0	5.0
415.0	0.0	462.0	400.0006380081177	11.0	5.0
420.0	0.0	462.0	400.00071120262146	11.0	5.0
425.0	0.0	462.0	400.00079011917114	11.0	5.0
429.0	0.0	462.0	400.00088334083557	11.0	5.0
434.0	0.0	462.0	400.0008764266968	11.0	5.0
438.0	0.0	462.0	400.00173449516296	11.0	5.0
443.0	0.0	462.0	400.00072407722473	11.0	5.0
448.0	0.0	462.0	400.0007562637329	11.0	5.0
452.0	0.0	462.0	400.0008535385132	11.0	5.0
457.0	0.0	462.0	400.00068497657776	11.0	5.0
198.0	198.0	330.0	0.37723517417907715	11.0	6.0
201.0	201.0	330.0	0.3266761302947998	11.0	6.0
204.0	204.0	330.0	0.33614516258239746	11.0	6.0
207.0	207.0	330.0	0.41190528869628906	11.0	6.0
211.0	211.0	330.0	0.3539738655090332	11.0	6.0
214.0	214.0	330.0	0.36234426498413086	11.0	6.0
217.0	217.0	330.0	0.37287092208862305	11.0	6.0
221.0	221.0	330.0	0.44981861114501953	11.0	6.0
224.0	224.0	330.0	0.3942856788635254	11.0	6.0
227.0	227.0	330.0	0.4091203212738037	11.0	6.0
231.0	231.0	330.0	0.515019416809082	11.0	6.0
234.0	234.0	330.0	0.42894721031188965	11.0	6.0
237.0	237.0	330.0	0.43811798095703125	11.0	6.0
240.0	240.0	330.0	0.4792361259460449	11.0	6.0
244.0	244.0	330.0	0.46446776390075684	11.0	6.0
247.0	247.0	330.0	0.4789721965789795	11.0	6.0
250.0	250.0	330.0	0.5432493686676025	11.0	6.0
254.0	254.0	330.0	0.497175931930542	11.0	6.0
257.0	257.0	330.0	0.5178322792053223	11.0	6.0
260.0	260.0	330.0	0.5480916500091553	11.0	6.0
264.0	264.0	330.0	0.5645332336425781	11.0	6.0
267.0	267.0	330.0	0.6137616634368896	11.0	6.0
270.0	270.0	330.0	0.5622756481170654	11.0	6.0
273.0	273.0	330.0	0.6415548324584961	11.0	6.0
277.0	277.0	330.0	0.6000790596008301	11.0	6.0
280.0	280.0	330.0	0.6690247058868408	11.0	6.0
283.0	283.0	330.0	0.6244447231292725	11.0	6.0
287.0	287.0	330.0	0.6481838226318359	11.0	6.0
290.0	290.0	330.0	0.7480919361114502	11.0	6.0
293.0	293.0	330.0	0.687727689743042	11.0	6.0
297.0	297.0	330.0	0.7112720012664795	11.0	6.0
300.0	300.0	330.0	1.268869400024414	11.0	6.0
303.0	303.0	330.0	0.8719851970672607	11.0	6.0
306.0	306.0	330.0	0.802236795425415	11.0	6.0
310.0	310.0	330.0	0.8081505298614502	11.0	6.0
313.0	0.0	330.0	400.0006046295166	11.0	6.0
316.0	0.0	330.0	400.0006320476532	11.0	6.0
320.0	0.0	330.0	400.0005831718445	11.0	6.0
323.0	0.0	330.0	400.0005111694336	11.0	6.0
